Code,Address,Tell,X,Y
17042,세종특별자치시 장군면 대교리 514-10 번지 초이자동차극장,044-272-7933,127.2122483,36.5027011
17041,세종특별자치시 북구 어진동 510 번지 엠브릿지 지하 1~2층,1544-0070,127.2697257,36.57029333
17040,세종특별자치시 나성동 206 번지 4~6층,02-1544-0070,127.2638736,36.48355031
17039,세종특별자치시 종촌동 673 번지 몰리브 7층,1544-1122,127.247565,36.50259054
16047,광주광역시 동구 불로동 1-21 번지 2층,,126.9146689,35.14690805
16046,광주광역시 광산구 하남동 832 번지 테라스56 피크닉몰 2층,1544-1122,126.8065153,35.17831792
16045,광주광역시 광산구 우산동 1597-1 번지,1544-8855,126.8096399,35.15999884
16044,광주광역시 동구 서석동 47-1 번지 서석동,062-222-1895,126.9222633,35.14691531
16042,광주광역시 동구 충장로4가 29-2 번지 NC웨이브 11층,1544-1122,126.9130788,35.14877567
16041,광주광역시 서구 치평동 1218-1 번지 프리미엄아울렛 6층,1544-1122,126.8510105,35.1542941
16040,광주광역시 동구 황금동 12-2 번지,1544-8855,126.9146542,35.14810216
16039,광주광역시 북구 생용동 90 번지,062-575-5717,126.9006076,35.22385286
16038,광주광역시 북구 용봉동 17-1 번지 굿모닝타운 4층,1544-1122,126.9127098,35.18238292
16037,광주광역시 동구 대인동 7-1 번지,1544-8855,126.9120547,35.15482452
16036,광주광역시 광산구 장덕동 1678 번지,1544-8855,126.819981,35.1896718
16035,광주광역시 광산구 쌍암동 688-4 번지,1544-0070,126.8523512,35.22122185
16027,광주광역시 서구 광천동 49-1 번지 유스퀘어 2-6층,1544-1122,126.8801305,35.16030876
16022,광주광역시 광산구 우산동 1587-1 번지,1544-0070,126.8115111,35.16292831
16021,광주광역시 서구 치평동 1223-3 번지,1544-0070,126.8544072,35.15430059
16020,광주광역시 북구 중흥동 362-2 번지,1544-0070,126.9124475,35.17260412
16015,광주광역시 광산구 쌍암동 694-35 번지,1544-1122,126.8503422,35.21647002
16014,광주광역시 동구 대인동 7-1 번지,1544-8855,126.9120547,35.15482452
16013,광주광역시 동구 충장로5가 62,062-224-5858,126.9124126,35.15044801
15070,"인천광역시 서구 가정동 0 번지 루원지웰시티푸르지오 상가동 지하1층, CGV 인천가정",1544-1122,126.675052,37.52661557
15069,인천광역시 남구 주안동 466-23 번지 지하2층 CGV,032-429-0116,126.6802872,37.45824171
15068,인천광역시 서구 청라동 162-2 번지 마루힐프라자8층,,126.6502995,37.53389293
15067,인천광역시 부평구 갈산동 94 번지 U1 테크로밸리 3~5F 롯데시네마 부평갈산,02-1544-8855,126.7273103,37.51532231
15066,인천광역시 남구 도화동 1011 번지,032-866-2006,126.6651593,37.47004825
15065,인천광역시 연수구 동춘동 926 번지 스퀘어원,,126.6837028,37.40597858
